ATENDIMENTO_BAIRRO_NOME,LATITUDE,LONGITUDE,RENDA
ALTO BOQUEIRAO,"-25,5333703446815","-49,2421297196611","1110,63"
LAMENHA PEQUENA,"-25,3663199254971","-49,329475340023","665,99"
XAXIM,"-25,5090296034033","-49,267007631085","1211,6"
RIVIERA,"-25,432985833447","-49,3752248454806","423,13"
SAO MIGUEL,"-25,4239432472046","-49,2753387501628","409,43"
CAMPO DE SANTANA,"-25,5917234756668","-49,3296927099814","564,95"
GANCHINHO,"-25,5614127038751","-49,255713140418","767,35"
TATUQUARA,"-25,5638315904866","-49,3234782820958","462,26"
CAXIMBA,"-25,6218486700507","-49,3490946240258","525,34"
UMBARA,"-25,5702994934246","-49,2832126349669","908,7"
AUGUSTA,"-25,4686943756443","-49,3705027124688","619,54"
BOQUEIRAO,"-25,5040693709261","-49,2382911240887","1413,53"
PRADO VELHO,"-25,4531033215082","-49,2553081247313","766,57"
SITIO CERCADO,"-25,5417926890927","-49,2680832593865","934,95"
CIDADE INDUSTRIAL,"-25,4956968725786","-49,3378167295832","639,09"
CACHOEIRA,"-25,3540064390536","-49,2584471381147","908,7"
PINHEIRINHO,"-25,5260559082878","-49,2904362594552","707,3"
CAJURU,"-25,4594642389094","-49,2078325840791","793,75"
SANTA CANDIDA,"-25,3685556822589","-49,23286205421","1211,6"
FAZENDINHA,"-25,4811691429404","-49,3239541904325","833,84"
LINDOIA,"-25,4785094315584","-49,2750210632736","809,46"
UBERABA,"-25,4846749047199","-49,2174953523497","952,14"
BAIRRO ALTO,"-25,4118035600195","-49,207037831512","1211,6"
CAPAO RASO,"-25,5069920288912","-49,2956066547318","977,19"
BARREIRINHA,"-25,372180798359","-49,2583261461517","1272,18"
ABRANCHES,"-25,3715375036681","-49,2735713457157","1009,67"
PAROLIN,"-25,4617345071964","-49,261578749337","1365,48"
ATUBA,"-25,3876604730726","-49,2070354395018","1211,6"
CAMPO COMPRIDO,"-25,4586943209617","-49,3296974807718","1216,71"
BUTIATUVINHA,"-25,3963343547767","-49,3521631300802","1135,7"
CAPAO DA IMBUIA,"-25,4377677916426","-49,2153211740183","1147,78"
TABOAO,"-25,3718148495058","-49,2802407997966","1009,67"
GUAIRA,"-25,469822674891","-49,2736676401346","1235,61"
FANNY,"-25,4817964054305","-49,2698123243379","1189,54"
PILARZINHO,"-25,3914331097136","-49,2898509522952","1211,6"
NOVO MUNDO,"-25,4893627769228","-49,2955663975617","1040,4"
SAO BRAZ,"-25,3911271600128","-49,2674618508303","1206,5"
HAUER,"-25,4807351997548","-49,2507825612272","1615,47"
TINGUI,"-25,3855025290417","-49,2217424175269","1615,47"
ORLEANS,"-25,4293873545321","-49,3529127374201","1277,22"
SAO JOAO,"-25,4495378893572","-49,3036917767813","1166,03"
SANTA QUITERIA,"-25,4614201338618","-49,31034303155","1487,95"
GUABIROTUBA,"-25,4658220086702","-49,2431573872155","1720,98"
SANTA FELICIDADE,"-25,3985586492079","-49,3293291425625","1314,67"
BOA VISTA,"-25,3865378465513","-49,2477824587454","1817,4"
SANTO INACIO,"-25,4270845631268","-49,3313795785727","1518,26"
JARDIM BOTANICO,"-25,4424138202935","-49,2473194616986","1885,75"
PORTAO,"-25,4721420798324","-49,3005317216775","1722,89"
MERCES,"-25,4226977332373","-49,2917163461202","2475,33"
VISTA ALEGRE,"-25,4083563123803","-49,2964419708026","2079,83"
BOM RETIRO,"-25,4107735290535","-49,2782131370451","2132,75"
REBOUCAS,"-25,444190138483","-49,2650742799504","2180,47"
SAO FRANCISCO,"-25,5010658298779","-49,3535763224549","2309,05"
CASCATINHA,"-25,4133285533216","-49,3124834663044","2198,43"
TARUMA,"-25,4286537868265","-49,2252424790497",3029
CENTRO,"-25,4325141013697","-49,2714012181333","2221,51"
BACACHERI,"-25,4019954805399","-49,2293505492212",3029
CAMPINA DO SIQUEIRA,"-25,4387346759088","-49,3090131885587","1903,78"
JARDIM DAS AMERICAS,"-25,4604494412869","-49,2292376388927","2304,19"
ALTO DA RUA XV,"-25,4277302540106","-49,2519863297764","2612,08"
AHU,"-25,4025301162926","-49,2632937605065","2827,81"
SAO LOURENCO,"-25,4162070403422","-49,3505640619723","2423,2"
VILA IZABEL,"-25,4577898480669","-49,2951071631429","2438,13"
CRISTO REI,"-25,435633393607","-49,2430297434327","2603,13"
HUGO LANGE,"-25,4184014314313","-49,2459822061539","3119,76"
CABRAL,"-25,4060824847692","-49,2522692321353","3914,15"
JARDIM SOCIAL,"-25,4196496281743","-49,2353920417211","4606,6"
SEMINARIO,"-25,3942868753479","-49,3161035070768","3210,65"
JUVEVE,"-25,4147125430421","-49,2586882712479","3435,48"
CENTRO CIVICO,"-25,416667352145","-49,2688807342139","2878,11"
AGUA VERDE,"-25,4562685970111","-49,2824852438511","3332,57"
ALTO DA GLORIA,"-25,4197837553954","-49,2619576094335","3263,47"
BIGORRILHO,"-25,432202410157","-49,2970504546452","3792,68"
MOSSUNGUE,"-25,4376059994547","-49,3284034303193","2965,09"
BATEL,"-25,4420890136466","-49,2868887111942","5120,73"
