Bairros,código,Média de Media latitude,Média de media longitude,Tempo,RMR,Resíduo padrão,Label,Área (km²),Homens,Mulheres,População Total,Domicilios particulares,Rendimento mensal médio por responsáveis dos domicílios (R$)
ALTO BOQUEIRAO,47,"-25,5333703446815","-49,2421297196611",19,"2,9","-2,44201144966097",Alto Boqueirão,"12,11",24824,26331,51155,14301,"1110,63"
LAMENHA PEQUENA,63,"-25,3663199254971","-49,329475340023",12,"2,4","-1,94536383937777",Lamenha Pequena,"3,4",353,348,701,188,"665,99"
XAXIM,23,"-25,5090296034033","-49,267007631085",13,"3,6","-1,46226860276454",Xaxim,"8,92",26747,27944,54691,15482,"1211,6"
RIVIERA,44,"-25,432985833447","-49,3752248454806",5,2,"-1,40451417150524",Riviera,"2,36",100,103,203,62,"423,13"
SAO MIGUEL,56,"-25,4239432472046","-49,2753387501628",3,"1,8","-1,26964591891819",São Miguel,7,2512,2399,4911,1247,"409,43"
CAMPO DE SANTANA,52,"-25,5917234756668","-49,3296927099814",4,2,"-1,24184875216739",Campo de Santana,"21,57",3696,3639,7335,1961,"564,95"
GANCHINHO,53,"-25,5614127038751","-49,255713140418",3,"1,9","-1,24177218110283",Ganchinho,"11,2",3667,3658,7325,1921,"767,35"
TATUQUARA,49,"-25,5638315904866","-49,3234782820958",3,2,"-1,2035471356368",Tatuquara,"11,23",18134,18205,36339,9525,"462,26"
CAXIMBA,46,"-25,6218486700507","-49,3490946240258",3,2,"-1,18637953655891",Caximba,"8,17",1252,1223,2475,631,"525,34"
UMBARA,50,"-25,5702994934246","-49,2832126349669",5,"2,5","-1,1456976801003",Umbará,"22,47",7280,7315,14595,17064,"908,7"
AUGUSTA,45,"-25,4686943756443","-49,3705027124688",4,"2,4","-1,10870008181557",Augusta,"8,84",1802,1815,3617,995,"619,54"
BOQUEIRAO,42,"-25,5040693709261","-49,2382911240887",10,"3,7","-1,10632609101012",Boqueirão,"14,8",33158,35337,68495,19750,"1413,53"
PRADO VELHO,7,"-25,4531033215082","-49,2553081247313",4,"2,3","-1,10412725119228",Prado Velho,"2,43",3506,3578,7084,1854,"766,57"
SITIO CERCADO,51,"-25,5417926890927","-49,2680832593865",3,"2,4","-1,03234379005499",Sitio Cercado,"11,12",50631,51779,102410,27914,"934,95"
CIDADE INDUSTRIAL DE CURITIBA,62,"-25,4956968725786","-49,3378167295832",3,"2,5","-0,987369635968751",Cidade Industrial,"43,38",76942,80519,157461,43494,"639,09"
CACHOEIRA,60,"-25,3540064390536","-49,2584471381147",3,"2,6","-0,940787981301325",Cachoeira,"3,07",3811,3927,7738,2091,"908,7"
PINHEIRINHO,48,"-25,5260559082878","-49,2904362594552",3,"2,8","-0,847523199896738",Pinheirinho,"10,73",13358,14549,27907,13839,"707,3"
CAJURU,55,"-25,4594642389094","-49,2078325840791",3,"2,9","-0,79806970689917",Cajuru,"11,55",43727,46057,89784,14301,"793,75"
SANTA CANDIDA,61,"-25,3685556822589","-49,23286205421",3,"3,2","-0,697182828660827",Santa Cândida,"10,33",13504,14366,27870,7937,"1211,6"
FAZENDINHA,30,"-25,4811691429404","-49,3239541904325",3,"3,2","-0,647125407872105",Fazendinha,"3,72",12751,13371,26122,12071,"833,84"
LINDOIA,28,"-25,4785094315584","-49,2750210632736",3,"3,2","-0,643860246624616",Lindoia,"1,18",4012,4331,8343,2368,"809,46"
UBERABA,58,"-25,4846749047199","-49,2174953523497",3,"3,6","-0,499270268642895",Uberaba,"14,09",29418,30920,60338,15482,"952,14"
BAIRRO ALTO,14,"-25,4118035600195","-49,207037831512",3,"3,6","-0,487837613324355",Bairro Alto,"7,02",20244,21789,42033,12071,"1211,6"
CAPAO RASO,24,"-25,5069920288912","-49,2956066547318",3,"3,6","-0,481330940031243",Capão Raso,"5,06",16586,17790,34376,10320,"977,19"
BARREIRINHA,40,"-25,372180798359","-49,2583261461517",3,"3,6","-0,472218613704658",Barreirinha,"3,73",8079,8942,17021,5024,"1272,18"
ABRANCHES,37,"-25,3715375036681","-49,2735713457157",3,"3,7","-0,429642304446146",Abranches,"4,32",5463,5702,11165,3154,"1009,67"
PAROLIN,8,"-25,4617345071964","-49,261578749337",4,"3,9","-0,426198898479454",Parolin,"2,25",5801,6181,11982,3307,"1365,48"
ATUBA,21,"-25,3876604730726","-49,2070354395018",3,"3,8","-0,413624044275181",Atuba,"4,27",6156,6476,12632,3627,"1211,6"
CAMPO COMPRIDO,33,"-25,4586943209617","-49,3296974807718",9,"5,1","-0,398697297386368",Campo Comprido,"8,55",10264,11374,21638,6649,"1216,71"
BUTIATUVINHA,72,"-25,3963343547767","-49,3521631300802",3,"3,9","-0,379657801606618",Butiatuvinha,"10,58",5311,5448,10759,2948,"1135,7"
CAPAO DA IMBUIA,3,"-25,4377677916426","-49,2153211740183",3,4,"-0,333373129236623",Capão da Imbuia,"3,16",9933,11043,20976,6209,"1147,78"
TABOAO,59,"-25,3718148495058","-49,2802407997966",4,"4,1","-0,319884755104415",Taboão,"1,72",1301,1367,2668,751,"1009,67"
GUAIRA,9,"-25,469822674891","-49,2736676401346",3,4,"-0,307951093377587",Guaíra,"2,32",6859,7409,14268,4187,"1235,61"
FANNY,27,"-25,4817964054305","-49,2698123243379",3,"4,1","-0,306142654461924",Fanny,2,3805,4061,7866,2293,"1189,54"
PILARZINHO,68,"-25,3914331097136","-49,2898509522952",3,"4,1","-0,277982842514433",Pilarzinho,"7,13",13358,14549,27907,7883,"1211,6"
NOVO MUNDO,29,"-25,4893627769228","-49,2955663975617",3,"4,1","-0,274191464754755",Novo Mundo,"5,99",20628,22371,42999,12917,"1040,4"
SAO BRAZ,4,"-25,3911271600128","-49,2674618508303",3,"4,2","-0,246299907051368",São Braz,"5,01",11163,11956,23119,6600,"1206,5"
HAUER,26,"-25,4807351997548","-49,2507825612272",3,"4,3","-0,204424722176262",Hauer,"4,02",6581,7270,13851,4240,"1615,47"
TINGUI,41,"-25,3855025290417","-49,2217424175269",3,"4,4","-0,167401237481728",Tingui,"2,11",5496,6068,11654,3495,"1615,47"
ORLEANS,65,"-25,4293873545321","-49,3529127374201",3,"4,4","-0,144271845889307",Orleans,"5,12",3502,3758,7260,2077,"1277,22"
SÃO JOAO,16,"-25,4495378893572","-49,3036917767813",5,"4,9","-0,103008053909263",São João,"3,03",1441,1509,2950,814,"1166,03"
SANTA QUITERIA,31,"-25,4614201338618","-49,31034303155",3,"4,6","-0,069798539286654",Santa Quitéria,"2,09",5532,6188,11720,3407,"1487,95"
GUABIROTUBA,6,"-25,4658220086702","-49,2431573872155",7,"5,8","0,058860817954617",Guabirotuba,"2,63",5029,5649,10678,3068,"1720,98"
SANTA FELICIDADE,75,"-25,3985586492079","-49,3293291425625",4,"5,2","0,135034385582795",Santa Felicidade,"12,27",12157,13052,25209,7202,"1314,67"
BOA VISTA,13,"-25,3865378465513","-49,2477824587454",3,"5,1","0,145646888311156",Boa Vista,"5,14",13677,15714,29391,9212,"1817,4"
SANTO INACIO,67,"-25,4270845631268","-49,3313795785727",5,"5,6","0,177538046468493",Santo Inácio,"2,72",2940,3097,6037,1683,"1518,26"
JARDIM BOTANICO,38,"-25,4424138202935","-49,2473194616986",3,"5,6","0,335419928570118",Jardim Botânico,"2,77",2813,3340,6153,1980,"1885,75"
PORTAO,10,"-25,4721420798324","-49,3005317216775",4,6,"0,487806059543839",Portão,"5,7",19092,21643,40735,13183,"1722,89"
MERCES,64,"-25,4226977332373","-49,2917163461202",6,"6,5","0,515462022940009",Mercês,"3,28",6315,7774,14089,4681,"2475,33"
VISTA ALEGRE,69,"-25,4083563123803","-49,2964419708026",4,"6,1","0,52606877345008",Vista Alegre,"3,69",4735,5195,9930,2855,"2079,83"
BOM RETIRO,73,"-25,4107735290535","-49,2782131370451",6,"6,6","0,543634656489782",Bom Retiro,"1,94",2586,3047,5633,1780,"2132,75"
REBOUCAS,19,"-25,444190138483","-49,2650742799504",3,"6,2","0,608862747241681",Rebouças,"2,98",7136,8482,15618,5813,"2180,47"
SAO FRANCISCO,70,"-25,5010658298779","-49,3535763224549",4,"6,3","0,633321164890219",São Francisco,"1,36",2863,3572,6435,2198,"2309,05"
CASCATINHA,74,"-25,4133285533216","-49,3124834663044",4,"6,5","0,671686985440655",Cascatinha,"2,57",994,1067,2061,586,"2198,43"
TARUMA,54,"-25,4286537868265","-49,2252424790497",4,"6,6","0,687889135131301",Tarumã,"4,17",3396,3649,7045,2015,3029
CENTRO,32,"-25,4325141013697","-49,2714012181333",3,"6,5","0,764518110607691",Centro,"3,3",13961,18662,32623,14576,"2221,51"
BACACHERI,57,"-25,4019954805399","-49,2293505492212",4,"6,9","0,893614866702239",Bacacheri,"6,98",10762,12344,23106,7107,3029
CAMPINA DO SIQUEIRA,12,"-25,4387346759088","-49,3090131885587",3,"6,9","0,950001524861086",Campina do Siqueira,"1,69",3379,3729,7108,2238,"1903,78"
JARDIM DAS AMERICAS,5,"-25,4604494412869","-49,2292376388927",5,"7,3","0,96005687951975",Jd. das Américas,"3,87",6699,7267,13966,3937,"2304,19"
ALTO DA RUA XV,36,"-25,4277302540106","-49,2519863297764",8,"8,1","0,976968010610974",Alto da XV,"1,5",3835,4848,8683,3084,"2612,08"
AHU,15,"-25,4025301162926","-49,2632937605065",11,"8,9","1,02937557573815",Ahú,"1,84",5117,6031,11148,3608,"2827,81"
SAO LOURENCO,71,"-25,4162070403422","-49,3505640619723",3,"7,2","1,05497297067055",São Lourenço,"2,26",2611,2945,5556,1603,"2423,2"
VILA IZABEL,11,"-25,4577898480669","-49,2951071631429",4,"7,4","1,05820369102011",Vila Izabel,"1,21",4993,5956,10949,751,"2438,13"
CRISTO REI,18,"-25,435633393607","-49,2430297434327",6,"7,8","1,06220926266908",Cristo Rei,"1,46",6147,7178,13325,5128,"2603,13"
HUGO LANGE,2,"-25,4184014314313","-49,2459822061539",11,"9,1","1,0809617218974",Hugo Lange,"1,15",1443,1724,3167,1010,"3119,76"
CABRAL,25,"-25,4060824847692","-49,2522692321353",13,"9,6","1,10155871548271",Cabral,"2,04",5815,5905,11720,3774,"3914,15"
JARDIM SOCIAL,22,"-25,4196496281743","-49,2353920417211",13,"10,2","1,30893071972967",Jardim Social,"1,89",2893,3192,6085,1674,"4606,6"
SEMINARIO,43,"-25,3942868753479","-49,3161035070768",5,"8,3","1,39272779256354",Seminário,"2,13",3350,4045,7395,2243,"3210,65"
JUVEVE,1,"-25,4147125430421","-49,2586882712479",8,"9,1","1,40566015462167",Juvevê,"1,23",4995,6286,11281,3994,"3435,48"
CENTRO CIVICO,34,"-25,416667352145","-49,2688807342139",5,"8,4","1,4339265740696",Centro Cívico,"0,97",2029,2738,4767,1958,"2878,11"
AGUA VERDE,20,"-25,4562685970111","-49,2824852438511",5,"8,6","1,48085275174357",Água Verde,"4,76",22546,27320,49866,17045,"3332,57"
ALTO DA GLORIA,17,"-25,4197837553954","-49,2619576094335",5,"8,8","1,51261666611751",Alto da Glória,"0,88",2513,3075,5588,2125,"3263,47"
BIGORRILHO,66,"-25,432202410157","-49,2970504546452",7,"9,7","1,7477577908611",Bigorrilho,"3,5",12359,14768,27127,9937,"3792,68"
MOSSUNGUE,35,"-25,4376059994547","-49,3284034303193",6,"9,4","1,76968272357425",Mossunguê,"3,38",2751,2877,5628,1586,"2965,09"
BATEL,39,"-25,4420890136466","-49,2868887111942",5,"11,4","2,68784540115527",Batel,"1,76",5126,6652,11778,3938,"5120,73"
